Scene,Filename,Method,BE (cm),Compression Ratio,Compression Time (s),Decompression Time (s),Mean Error (Axis),Max Error (Axis),Mean Error (L2),Max Error (L2),Num Packets,Chamfer Distance,Occupancy IoU
sample_2,0000000002.bin,EB-HC-3D(Axis),2.0,0.2451401636370528,nan,nan,0.007552634924650192,0.011546611785888672,0.009729650290757529,0.017090383125272814,2898,0.00020235063789754624,0.7841941186790645
sample_2,0000000002.bin,EB-HC-3D(L2),2.0,0.24515167021339962,nan,nan,0.007552673574537039,0.011546611785888672,0.009729609309276318,0.017090383125272814,2898,0.0002023486778093027,0.7841700404858299
sample_3,0000000003.bin,Huffman,0,0.6576912417976871,nan,nan,0.0,0.0,0.0,0.0,7775,0.0,1.0
sample_3,0000000003.bin,EB-HC(Axis),1.0,0.35126269598925847,nan,nan,0.0046512712724506855,0.009000003337860107,0.005818847460629075,0.010392928136573411,4153,7.526499783577556e-05,0.8800039818541219
sample_3,0000000003.bin,EB-HC(L2),1.0,0.3578211625086625,nan,nan,0.0039026103913784027,0.008000016212463379,0.004870412765945717,0.008661553498576582,4230,5.2930967063737706e-05,0.8973700077521606
sample_3,0000000003.bin,EB-Octree(Axis),1.0,0.5508042597886348,nan,nan,0.00015556797734461725,0.0070002079010009766,0.00018239687233587032,0.009949836127893859,6512,1.7390073870336956e-06,0.999576354530737
sample_3,0000000003.bin,EB-Octree(L2),1.0,0.5446037985100485,nan,nan,0.00035094545455649495,0.01000000536441803,0.00039474071443780463,0.010000324251086509,6438,4.453148501664741e-06,0.9987291981845688
sample_3,0000000003.bin,EB-HC-3D(Axis),1.0,0.27456430288461536,nan,nan,0.0037824080791324377,0.0058214664459228516,0.004863153041568562,0.00856783618285706,3246,5.105592073559873e-05,0.8892873471253857
sample_3,0000000003.bin,EB-HC-3D(L2),1.0,0.27456430288461536,nan,nan,0.0037824080791324377,0.0058214664459228516,0.004863153041568562,0.00856783618285706,3246,5.105592073559873e-05,0.8892873471253857
sample_3,0000000003.bin,EB-HC(Axis),2.0,0.3245124631843382,nan,nan,0.009046264924108982,0.01800060272216797,0.011326898933127856,0.020785813259567677,3837,0.00028228192974590895,0.7827378140143897
sample_3,0000000003.bin,EB-HC(L2),2.0,0.32797475961538464,nan,nan,0.008350955322384834,0.01699995994567871,0.01046321882592005,0.01905358690018794,3878,0.00024065989564877336,0.780691475749862
sample_3,0000000003.bin,EB-Octree(Axis),2.0,0.5270987634268884,nan,nan,0.0010548423742875457,0.01699995994567871,0.0012029431353857531,0.020518145276926164,6231,1.9119368868268244e-05,0.9951909990019054
sample_3,0000000003.bin,EB-Octree(L2),2.0,0.5117830420564795,nan,nan,0.0018843397265300155,0.019999995827674866,0.002105250109253266,0.020000267029035963,6050,4.05355561353172e-05,0.9908864203128542
sample_3,0000000003.bin,EB-HC-3D(Axis),2.0,0.24537909303534303,nan,nan,0.00756365992128849,0.011677026748657227,0.00974152302997809,0.017109438679136002,2901,0.00020282889151802022,0.7887061240488193
sample_3,0000000003.bin,EB-HC-3D(L2),2.0,0.24538924441268192,nan,nan,0.007563517428934574,0.011677026748657227,0.00974129917694529,0.017109438679136002,2901,0.00020282058292118743,0.7887544772589038
sample_4,0000000004.bin,Huffman,0,0.6576850149740693,nan,nan,0.0,0.0,0.0,0.0,7780,0.0,1.0
sample_4,0000000004.bin,EB-HC(Axis),1.0,0.35128801344014027,nan,nan,0.004656083416193724,0.009000062942504883,0.0058213097299912725,0.010392928136573411,4156,7.529605533271933e-05,0.8789583897206513
sample_4,0000000004.bin,EB-HC(L2),1.0,0.35787619812844423,nan,nan,0.0039048788603395224,0.007999897003173828,0.004875371396465921,0.008661553498576582,4234,5.3055453515607703e-05,0.9041610118102278
sample_4,0000000004.bin,EB-Octree(Axis),1.0,0.5502091229550994,nan,nan,0.00015943952894303948,0.00800013542175293,0.00018698770597987477,0.009949836127893859,6509,1.7785100076275798e-06,0.9994841920019418
sample_4,0000000004.bin,EB-Octree(L2),1.0,0.5440490586761678,nan,nan,0.0003547274100128561,0.009999999776482582,0.00039903023580930007,0.010000228893204361,6436,4.485524426119067e-06,0.9989684622502693
sample_4,0000000004.bin,EB-HC-3D(Axis),1.0,0.27444276713225607,nan,nan,0.003782261162996292,0.005349516868591309,0.004865788737309758,0.00860218911887766,3247,5.110949012053075e-05,0.8848335071354085
sample_4,0000000004.bin,EB-HC-3D(L2),1.0,0.2744454724744954,nan,nan,0.003782245796173811,0.005349516868591309,0.004865750603651132,0.00860218911887766,3247,5.110900607339274e-05,0.8848335071354085
sample_4,0000000004.bin,EB-HC(Axis),2.0,0.3245511160889408,nan,nan,0.00907521415501833,0.018000125885009766,0.011363218050287057,0.020785856273146823,3839,0.0002837408571036294,0.7674521414122469
sample_4,0000000004.bin,EB-HC(L2),2.0,0.32800313278631316,nan,nan,0.008345901034772396,0.016000747680664062,0.010454682584951433,0.019053552489232743,3880,0.0002403504995969092,0.8126220266739997
sample_4,0000000004.bin,EB-Octree(Axis),2.0,0.5263094532773869,nan,nan,0.001059271744452417,0.01900005340576172,0.001208241993583626,0.020024997444278433,6226,1.9172208685485358e-05,0.9952847352780642
sample_4,0000000004.bin,EB-Octree(L2),2.0,0.5108707414531475,nan,nan,0.001900627976283431,0.019999995827674866,0.00212285723754748,0.020000076294002155,6043,4.072664345228969e-05,0.9907866224182086
sample_4,0000000004.bin,EB-HC-3D(Axis),2.0,0.24531502357705762,nan,nan,0.007549314759671688,0.011726140975952148,0.009727333411221431,0.017120604526513025,2902,0.00020230888645330036,0.8010049427892624
sample_4,0000000004.bin,EB-HC-3D(L2),2.0,0.24532043426153627,nan,nan,0.007549337577074766,0.011726140975952148,0.009727298465189141,0.017120604526513025,2902,0.00020230743572136685,0.8010049427892624
